External_Course_Key|External_Person_Key|Role|Available_Ind|ROW_STATUS
RSK1001-9|4000033701|Student|N|enabled
RSK1001-9|1001641598|Student|N|enabled
RSK1001-9|2000000993|Student|N|enabled
RSK1001-9|2000001013|Student|N|enabled
RSK1001-9|4000024530|Student|N|enabled
RSK1001-9|1000023283|Student|N|enabled
RSK1001-9|1001952212|Student|N|enabled
RSK1001-9|1001520611|Student|N|enabled
RSK1001-9|1000484868|Student|N|enabled
RSK1001-9|1001947203|Student|N|enabled
RSK1001-9|2000000978|Student|N|enabled
RSK1001-9|1000408995|Student|N|enabled
RSK1001-9|1000849945|Student|N|enabled
RSK1001-9|1001495037|Student|N|enabled
RSK1001-9|2000000985|Student|N|enabled
RSK1001-9|1002243874|Student|N|enabled
RSK1001-9|1000068886|Student|N|enabled
RSK1001-9|1001949981|Student|N|enabled
RSK1001-9|2000000966|Student|N|enabled
RSK1001-9|1002179694|Student|N|enabled
RSK1001-9|1001931325|Student|N|enabled
RSK1001-9|1000064466|Student|N|enabled
RSK1001-9|1001186514|Student|N|enabled
RSK1001-9|2000001016|Student|N|enabled
RSK1001-9|2000000965|Student|N|enabled
RSK1001-9|4000045696|Student|N|enabled
RSK1001-9|1000070812|Student|N|enabled
RSK1001-9|4000025543|Student|N|enabled
RSK1001-9|1000792553|Student|N|enabled
RSK1001-9|1001135721|Student|N|enabled
RSK1001-9|1000442977|Student|N|enabled
RSK1001-9|1000053617|Student|N|enabled
RSK1001-9|4000028813|Student|N|enabled
RSK1001-9|1001983738|Student|N|enabled
RSK1001-9|1001925002|Student|N|enabled
RSK1001-9|1001905153|Student|N|enabled
RSK1001-9|1000058935|Student|N|enabled
RSK1001-9|1001482899|Student|N|enabled
RSK1001-9|1000674688|Student|N|enabled
RSK1001-9|1001887141|Student|N|enabled
RSK1001-9|1000963141|Student|N|enabled
RSK1001-9|1000069291|Student|N|enabled
RSK1001-9|1001575541|Student|N|enabled
RSK1001-9|1001497060|Student|N|enabled
RSK1001-9|1001539640|Student|N|enabled
RSK1001-9|1001547963|Student|N|enabled
RSK1001-9|1000028939|Student|N|enabled
RSK1001-9|1000039059|Student|N|enabled
RSK1001-9|2000000836|Student|N|enabled
RSK1001-9|4000049109|Student|N|enabled
RSK1001-9|4000081056|Student|N|enabled
RSK1001-9|1001832671|Student|N|enabled
RSK1001-9|1000150547|Student|N|enabled
RSK1001-9|1001809220|Student|N|enabled
RSK1001-9|4000082549|Student|N|enabled
RSK1001-9|4000048470|Student|N|enabled
RSK1001-9|1001440174|Student|N|enabled
RSK1001-9|4000128890|Student|N|enabled
RSK1001-9|1002231560|Student|N|enabled
RSK1001-9|1000676877|Student|N|enabled
RSK1001-9|1000623416|Student|N|enabled
RSK1001-9|1000024347|Student|N|enabled
RSK1001-9|4000060993|Student|N|enabled
RSK1001-9|1001466555|Student|N|enabled
RSK1001-9|1000090937|Student|N|enabled
RSK1001-9|1000002908|Student|N|enabled
RSK1001-9|1000841967|Student|N|enabled
RSK1001-9|2000000929|Student|N|enabled
RSK1001-9|1000073394|Student|N|enabled
RSK1001-9|1000051143|Student|N|enabled
RSK1001-9|1001157550|Student|N|enabled
RSK1001-9|2000000988|Student|N|enabled
RSK1001-9|1000004924|Student|N|enabled
RSK1001-9|4000012944|Student|N|enabled
RSK1001-9|1001137141|Student|N|enabled
RSK1001-9|4000043824|Student|N|enabled
RSK1001-9|1002056248|Student|N|enabled
RSK1001-9|1000045557|Student|N|enabled
RSK1001-9|1000035862|Student|N|enabled
RSK1001-9|1001836715|Student|N|enabled
RSK1001-9|1000016496|Student|N|enabled
RSK1001-9|1000029606|Student|N|enabled
RSK1001-9|1000054447|Student|N|enabled
RSK1001-9|1000962333|Student|N|enabled
RSK1001-9|1000028770|Student|N|enabled
RSK1001-9|2000001009|Student|N|enabled
RSK1001-9|1000069355|Student|N|enabled
RSK1001-9|4000134714|Student|N|enabled
RSK1001-9|1000956538|Student|N|enabled
RSK1001-9|1002169429|Student|N|enabled
RSK1001-9|4000122799|Student|N|enabled
RSK1001-9|1002053009|Student|N|enabled
RSK1001-9|1000454300|Student|N|enabled
RSK1001-9|4000145967|Student|N|enabled
RSK1001-9|1001535680|Student|N|enabled
RSK1001-9|2000001020|Student|N|enabled
RSK1001-9|1001773430|Student|N|enabled
RSK1001-9|1001438040|Student|N|enabled
RSK1001-9|4000049957|Student|N|enabled
RSK1001-9|1000405189|Student|N|enabled
RSK1001-9|1000688821|Student|N|enabled
RSK1001-9|2000000960|Student|N|enabled
RSK1001-9|1002285295|Student|N|enabled
RSK1001-9|4000110661|Student|N|enabled
RSK1001-9|1002227646|Student|N|enabled
RSK1001-9|1001819541|Student|N|enabled
RSK1001-9|1001243376|Student|N|enabled
RSK1001-9|1000827247|Student|N|enabled
RSK1001-9|2000000983|Student|N|enabled
RSK1001-9|2000000403|Student|N|enabled
RSK1001-9|4000017051|Student|N|enabled
RSK1001-9|2000000890|Student|N|enabled
RSK1001-9|1000413163|Student|N|enabled
RSK1001-9|1002268250|Student|N|enabled
RSK1001-9|1000045593|Student|N|enabled
RSK1001-9|4000059568|Student|N|enabled
RSK1001-9|4000012623|Student|N|enabled
RSK1001-9|1000053252|Student|N|enabled
RSK1001-9|1000026912|Student|N|enabled
RSK1001-9|1002260197|Student|N|enabled
RSK1001-9|1000073027|Student|N|enabled
RSK1001-9|1000240424|Student|N|enabled
RSK1001-9|1000329695|Student|N|enabled
RSK1001-9|2000000926|Student|N|enabled
RSK1001-9|4000065132|Student|N|enabled
RSK1001-9|4000008256|Student|N|enabled
RSK1001-9|1001671327|Student|N|enabled
RSK1001-9|1002279594|Student|N|enabled
RSK1001-9|1000048650|Student|N|enabled
RSK1001-9|1000212335|Student|N|enabled
RSK1001-9|1002214792|Student|N|enabled
RSK1001-9|1000725077|Student|N|enabled
RSK1001-9|1002084579|Student|N|enabled
RSK1001-9|4000014927|Student|N|enabled
RSK1001-9|1000794413|Student|N|enabled
RSK1001-9|1001545548|Student|N|enabled
RSK1001-9|1001031265|Student|N|enabled
RSK1001-9|2000000986|Student|N|enabled
RSK1001-9|1000015513|Student|N|enabled
RSK1001-9|1001349149|Student|N|enabled
RSK1001-9|1000057824|Student|N|enabled
RSK1001-9|1002239588|Student|N|enabled
RSK1001-9|1001786426|Student|N|enabled
RSK1001-9|1000500209|Student|N|enabled
RSK1001-9|1001552046|Student|N|enabled
RSK1001-9|1000032977|Student|N|enabled
RSK1001-9|1002188423|Student|N|enabled
RSK1001-9|4000063421|Student|N|enabled
RSK1001-9|4000084389|Student|N|enabled
RSK1001-9|1000040089|Student|N|enabled
RSK1001-9|4000010297|Student|N|enabled
RSK1001-9|4000057844|Student|N|enabled
RSK1001-9|1000028180|Student|N|enabled
RSK1001-9|1001129647|Student|N|enabled
RSK1001-9|1002159980|Student|N|enabled
RSK1001-9|1001330767|Student|N|enabled
RSK1001-9|4000020669|Student|N|enabled
RSK1001-9|1000043493|Student|N|enabled
RSK1001-9|1000053444|Student|N|enabled
RSK1001-9|1001217856|Student|N|enabled
RSK1001-9|1001456178|Student|N|enabled
RSK1001-9|1000617119|Student|N|enabled
RSK1001-9|4000031367|Student|N|enabled
RSK1001-9|4000024395|Student|N|enabled
RSK1001-9|4000043951|Student|N|enabled
RSK1001-9|1002020664|Student|N|enabled
RSK1001-9|1000741274|Student|N|enabled
RSK1001-9|4000129052|Student|N|enabled
RSK1001-9|1000713933|Student|N|enabled
RSK1001-9|1000022811|Student|N|enabled
RSK1001-9|1000733198|Student|N|enabled
RSK1001-9|1000307913|Student|N|enabled
RSK1001-9|4000086197|Student|N|enabled
RSK1001-9|1002284374|Student|N|enabled
RSK1001-9|1001615396|Student|N|enabled
RSK1001-9|1001672710|Student|N|enabled
RSK1001-9|1001256754|Student|N|enabled
RSK1001-9|1000485908|Student|N|enabled
RSK1001-9|4000082633|Student|N|enabled
RSK1001-9|4000111629|Student|N|enabled
RSK1001-9|4000078391|Student|N|enabled
RSK1001-9|2000000936|Student|N|enabled
RSK1001-9|1001027967|Student|N|enabled
RSK1001-9|2000000991|Student|N|enabled
RSK1001-9|1000183843|Student|N|enabled
RSK1001-9|4000022496|Student|N|enabled
RSK1001-9|1002113614|Student|N|enabled
RSK1001-9|4000027527|Student|N|enabled
RSK1001-9|1000157940|Student|N|enabled
RSK1001-9|1000045360|Student|N|enabled
RSK1001-9|4000104374|Student|N|enabled
RSK1001-9|1000024118|Student|N|enabled
RSK1001-9|1000660844|Student|N|enabled
RSK1001-9|4000066754|Student|N|enabled
RSK1001-9|4000145858|Student|N|enabled
RSK1001-9|2000001015|Student|N|enabled
RSK1001-9|1001546640|Student|N|enabled
RSK1001-9|1000089850|Student|N|enabled
RSK1001-9|1002246345|Student|N|enabled
RSK1001-9|4000033368|Student|N|enabled
RSK1001-9|2000000896|Student|N|enabled
RSK1001-9|4000094748|Student|N|enabled
RSK1001-9|4000103714|Student|N|enabled
