CourseID,ReferenceNumber,EnrollEnd,CourseStart,CourseEnd,TermYear,SchoolTerm,TermChoiceID,TuitionIS,GSFIS,TuitionOS,GSFOS,Title,InstructorName,CourseAvailability,FormatChoiceID,CourseType,DeliveryID,VisitRequired,TechRequirements,OtherConsiderations,SynchronousMeetingsRequired,ScheduleNotes,RegistrationStatus
45,7649,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Psy Of Personal Eff,Sheryl Hartman,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
45,7650,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Psy Of Personal Eff,Jessyca Perez,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
45,7651,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Psy Of Personal Eff,Emilia Goodfriend,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
45,7652,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Psy Of Personal Eff,Mariana Molina,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
45,7653,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Psy Of Personal Eff,Krystal Ribot,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
45,7654,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Psy Of Personal Eff,Sheryl Hartman,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
45,7655,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Psy Of Personal Eff,Jessyca Perez,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
45,7656,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Psy Of Personal Eff,Trinidad Arguelles,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
45,7657,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Psy Of Personal Eff,Emilia Goodfriend,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
45,7658,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Psy Of Personal Eff,Mariana Molina,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
45,7838,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Psy Of Personal Eff,Sheryl Hartman,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
45,7839,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Psy Of Personal Eff,Jessyca Perez,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
45,8769,8/25/2019,8/26/2019,10/18/2019,2020,Spring,72,389.67,45,1607.91,45,Psy Of Personal Eff,Emilia Goodfriend,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
46,7688,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Abnormal Psychology,Arlen Garcia,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
46,7689,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Abnormal Psychology,Natalya Fateyeva,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
46,8771,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Abnormal Psychology,Arlen Garcia,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
47,2607,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,519.56,60,2143.88,60,Intro Vis Basic Prog,Nannette Bibby,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
50,2834,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,519.56,60,2143.88,60,Java Programming,Hien Nguyen,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
55,7727,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Human Growth & Dev,Nazira Barry,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
55,7728,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Human Growth & Dev,Mayte Insua-Auais,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
55,7729,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Human Growth & Dev,Minca Davis Brantley,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
55,7730,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Human Growth & Dev,Shannon Kennedy,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
55,7731,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Human Growth & Dev,Yuly Pomares,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
55,7732,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Human Growth & Dev,Igor Belokon,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
55,7733,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Human Growth & Dev,Mayte Insua-Auais,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
55,7734,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Human Growth & Dev,Minca Davis Brantley,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
55,7735,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Human Growth & Dev,Shannon Kennedy,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
55,7736,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Human Growth & Dev,Yuly Pomares,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
55,7737,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Human Growth & Dev,Mayte Insua-Auais,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
55,7840,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Human Growth & Dev,Shannon Kennedy,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
55,7842,10/27/2019,10/28/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Human Growth & Dev,Mayte Insua-Auais,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
206,3230,8/25/2019,8/26/2019,10/18/2019,2020,Spring,72,389.67,45,1607.91,45,Trans.& Bor.Security,Mary Douglas,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
207,3231,10/27/2019,10/28/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,In. An. & Sec. Mgmt,Mary Douglas,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
56,4639,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Speech/Listening Level 6,Kathleen Biache,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
57,4655,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,129.89,15,535.97,15,Speech/Listening Level 6 Lab,Kathleen Biache,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
58,4526,8/25/2019,8/26/2019,12/20/2019,2020,Spring,72,389.67,45,1607.91,45,Reading Level 6,Helen Roland,3,9,1,1,F,High Speed Internet - MS Office,Contact instructor for further information.,F,None,1
